month,Year,District,SAFETY,crime
9,2020,5.0,55.1425,886
9,2020,6.0,54.77,1184
9,2020,7.0,50.6925,960
9,2020,8.0,51.545,1055
9,2020,9.0,48.3575,750
9,2020,10.0,49.1075,851
9,2020,11.0,45.4775,1335
9,2020,12.0,52.725,930
9,2020,14.0,56.1075,560
9,2020,15.0,50.25,713
9,2020,16.0,65.304,649
9,2020,17.0,58.8625,565
9,2020,18.0,49.2475,709
9,2020,19.0,61.85,818
9,2020,20.0,67.61,364
9,2020,22.0,57.2325,579
9,2020,24.0,61.837500000000006,619
9,2020,25.0,52.61666666666667,970
9,2021,1.0,51.305,858
9,2021,2.0,51.417500000000004,901
9,2021,3.0,47.2725,953
9,2021,4.0,46.485,1112
9,2021,5.0,47.37,873
9,2021,6.0,50.0675,1160
9,2021,7.0,44.985,888
9,2021,8.0,49.9075,1211
9,2021,9.0,45.5,857
9,2021,10.0,45.6625,863
9,2021,11.0,48.8525,1167
9,2021,12.0,49.5875,1093
9,2021,14.0,63.7675,640
9,2021,15.0,54.46,708
9,2021,16.0,62.620000000000005,723
9,2021,17.0,63.1525,528
9,2021,18.0,48.8375,1122
9,2021,19.0,64.2775,945
9,2021,20.0,61.74,401
9,2021,22.0,58.8,605
9,2021,24.0,63.1725,622
9,2021,25.0,52.97833333333333,933
10,2018,1.0,66.1175,1274
10,2018,2.0,57.442499999999995,993
10,2018,3.0,50.8525,916
10,2018,4.0,50.7825,1245
10,2018,5.0,52.337500000000006,975
10,2018,6.0,50.465,1462
10,2018,7.0,51.9125,1129
10,2018,8.0,58.62,1363
10,2018,9.0,50.1625,944
10,2018,10.0,52.47,1112
10,2018,11.0,36.73,1734
10,2018,12.0,63.677499999999995,1194
10,2018,14.0,64.545,885
10,2018,15.0,49.7125,819
10,2018,16.0,74.498,721
10,2018,17.0,67.81,665
10,2018,18.0,67.62,1362
10,2018,19.0,67.9525,1104
10,2018,20.0,65.6975,479
10,2018,22.0,61.34,656
10,2018,24.0,60.2425,687
10,2018,25.0,56.718333333333334,1128
10,2019,1.0,61.22,1236
10,2019,2.0,56.5175,1015
10,2019,3.0,54.035,1036
10,2019,4.0,52.7525,1149
10,2019,5.0,54.625,949
10,2019,6.0,55.4775,1430
10,2019,7.0,48.4025,1144
10,2019,8.0,58.3,1341
10,2019,9.0,55.7375,895
10,2019,10.0,46.0625,1036
10,2019,11.0,45.5075,1415
10,2019,12.0,57.582499999999996,1123
10,2019,14.0,64.87,846
10,2019,15.0,52.4025,794
10,2019,16.0,68.728,605
10,2019,17.0,68.7325,616
10,2019,18.0,59.4,1287
10,2019,19.0,65.83250000000001,946
10,2019,20.0,64.24,377
10,2019,22.0,62.81,707
10,2019,24.0,63.447500000000005,659
10,2019,25.0,59.080000000000005,1100
10,2020,1.0,51.48,641
10,2020,2.0,59.832499999999996,911
10,2020,3.0,52.9625,897
10,2020,4.0,54.4975,1088
10,2020,5.0,49.0075,958
10,2020,6.0,51.6775,1211
10,2020,7.0,51.09,974
